Country,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008
Afghanistan/AF,21.48678,21.46552,21.45145,21.43822,21.42734,21.41222,21.40132,21.37679,21.34018,21.29845,21.24818,21.20269,21.14238,21.06376,20.97987,20.91132,20.85155,20.81307,20.78591,20.75469,20.69521,20.62643,20.59848,20.58706,20.57759,20.58084,20.58749,20.60246,20.62058
Albania/AL,25.22533,25.23981,25.25636,25.27176,25.27901,25.28669,25.29451,25.30217,25.3045,25.31944,25.32357,25.28452,25.23077,25.21192,25.22115,25.25874,25.31097,25.33988,25.39116,25.46555,25.55835,25.66701,25.77167,25.87274,25.98136,26.08939,26.20867,26.32753,26.44657
Algeria/DZ,22.25703,22.34745,22.43647,22.52105,22.60633,22.69501,22.76979,22.84096,22.90644,22.97931,23046,23.11333,23.18776,23.25764,23.32273,23.39526,23.46811,23.5416,23.61592,23.69486,23.77659,23.86256,23.95294,24.05243,24.15957,24.27001,24.3827,24.48846,24.5962
Andorra/AD,25.66652,25.70868,25.74681,25.7825,25.81874,25.85236,25.89089,25.93414,25.98477,26.0445,26.10936,26.17912,26.24017,26.30356,26.36793,26.43569,26.50769,26.58255,26.66337,26.75078,26.83179,26.92373,27.02525,27.12481,27.23107,27.32827,27.43588,27.53363,27.63048
Angola/AO,20.94876,20.94371,20.93754,20.93187,20.93569,20.94857,20.9603,20.98025,21.01375,21.05269,21.09007,21.12136,21.14987,21.13938,21.14186,21.16022,21.19076,21.22621,21.27082,21.31954,21.3748,21.43664,21.51765,21.59924,21.69218,21.80564,21.93881,22.08962,22.25083
Antigua and Barbuda/AG,23.31424,23.39054,23.45883,23.53735,23.63584,23.73109,23.83449,23.93649,24.05364,24.16347,24.26782,24.36568,24.45644,24.54096,24.60945,24.66461,24.72544,24.78714,24.84936,24.91721,24.99158,25.05857,25.13039,25.20713,25.29898,25.39965,25.51382,25.64247,25.76602
Argentina/AR,25.37913,25.44951,25.50242,25.55644,25.61271,25.66593,25.72364,25.78529,25.84428,25.8851,25.92482,25.99177,26.07642,26.17288,26.27872,26.37522,26.47182,26.57778,26.68714,26.79005,26.88103,26.96067,26.99882,27.04738,27.11001,27.18941,27.28179,27.38889,27.5017
Armenia/AM,23.82469,23.86401,23.91023,23.95649,24.00181,24.04083,24.08736,24.13334,24.17219,24.19556,24.20618,24.1979,24.12982,24.05854,24.02297,24.0157,24.02627,24.03885,24071,24.11699,24.18045,24.2667,24.37698,24.50332,24.64178,24.81447,24.9916,25.1759,25.35542
Australia/AU,24.92729,25.00216,25.0766,25.14938,25.22894,25.31849,25.41017,25.50528,25.60001,25.7005,25.80568,25.90295,26.00624,26.10586,26.20077,26.29241,26.38256,26.47351,26.56314,26.65506,26.74486,26.84397,26.93858,27.03801,27.13871,27.24614,27.35267,27.45878,27.56373
Austria/AT,24.84097,24.8811,24.93482,24.98118,25.02208,25.06015,25.1068,25.14747,25.19333,25.24928,25.30882,25.37186,25.43668,25.50507,25.56626,25.61814,25.6641,25.71737,25.75996,25.81773,25.87471,25.93806,25.99583,26.06356,26.1436,26.21107,26.29374,26.38136,26.46741
